nsa_cs_action_type_text,region,numbers
Research and analysis,Europe,4
Legal assistance and action,Europe,3
Research and analysis,Asia,3
Research and analysis,Americas,3
Advocacy and public awareness campaigns,Europe,2
Other,Europe,2
"Developing ethical guidelines, standards, and best practices",Asia,1
Conferences and workshops,Europe,1
Conferences and workshops,Africa,1
Advocacy and public awareness campaigns,Asia,1
Advocacy and public awareness campaigns,Americas,1
Other,Asia,1
"Developing ethical guidelines, standards, and best practices",Europe,1
Non-state mechanisms,Asia,1
