nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Americas,3
Advocacy and public awareness campaigns,Europe,3
Research and analysis,Asia,3
Conferences and workshops,Asia,2
"Developing ethical guidelines, standards, and best practices",Europe,2
Other,Europe,2
Training and courses,Europe,2
Other,Asia,2
Advocacy and public awareness campaigns,Asia,1
Conferences and workshops,Americas,1
Conferences and workshops,Europe,1
Establishing partnerships and collaborations,Asia,1
Non-state mechanisms,Asia,1
Research and analysis,Europe,1
