nsa_cs_action_type_text,region,numbers
Research and analysis,Africa,4
Research and analysis,Americas,4
Advocacy and public awareness campaigns,Europe,3
Research and analysis,Europe,3
Advocacy and public awareness campaigns,Asia,2
Advocacy and public awareness campaigns,Americas,2
Research and analysis,Asia,2
Other,Asia,2
Conferences and workshops,Africa,1
Advocacy and public awareness campaigns,Oceania,1
Non-state mechanisms,Asia,1
Legal assistance and action,Africa,1
"Developing ethical guidelines, standards, and best practices",Africa,1
Conferences and workshops,Europe,1
Other,Europe,1
Research and analysis,Oceania,1
Training and courses,Americas,1
Training and courses,Asia,1
