nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Americas,4
Advocacy and public awareness campaigns,Asia,4
Advocacy and public awareness campaigns,Europe,4
Research and analysis,Europe,4
Training and courses,Europe,3
Advocacy and public awareness campaigns,Africa,3
Research and analysis,Asia,2
Legal assistance and action,Europe,2
Conferences and workshops,Asia,2
"Developing ethical guidelines, standards, and best practices",Africa,2
Establishing partnerships and collaborations,Europe,2
Legal assistance and action,Asia,2
Conferences and workshops,Americas,1
Conferences and workshops,Africa,1
"Developing ethical guidelines, standards, and best practices",Europe,1
"Developing ethical guidelines, standards, and best practices",Oceania,1
Conferences and workshops,Europe,1
"Developing ethical guidelines, standards, and best practices",Asia,1
Research and analysis,Africa,1
Other,Americas,1
Non-state mechanisms,Asia,1
Training and courses,Asia,1
