nsa_cs_action_type_text,region,numbers
Research and analysis,Europe,6
Advocacy and public awareness campaigns,Europe,5
Training and courses,Asia,5
Conferences and workshops,Europe,4
Conferences and workshops,Asia,4
Conferences and workshops,Americas,4
Advocacy and public awareness campaigns,Americas,3
Advocacy and public awareness campaigns,Asia,2
Training and courses,Africa,2
Training and courses,Europe,2
"Developing ethical guidelines, standards, and best practices",Asia,2
Research and analysis,Americas,2
"Developing ethical guidelines, standards, and best practices",Africa,1
Advocacy and public awareness campaigns,Africa,1
Establishing partnerships and collaborations,Africa,1
"Developing ethical guidelines, standards, and best practices",Europe,1
Other,Europe,1
Other,Africa,1
Establishing partnerships and collaborations,Europe,1
Establishing partnerships and collaborations,Asia,1
Establishing partnerships and collaborations,Americas,1
Research and analysis,Asia,1
Other,Oceania,1
Research and analysis,Africa,1
