nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,7
Research and analysis,Europe,5
"Developing ethical guidelines, standards, and best practices",Asia,3
Research and analysis,Americas,3
"Developing ethical guidelines, standards, and best practices",Europe,2
Conferences and workshops,Europe,2
Advocacy and public awareness campaigns,Americas,1
Advocacy and public awareness campaigns,Asia,1
Conferences and workshops,Africa,1
Establishing partnerships and collaborations,Europe,1
Research and analysis,Asia,1
Research and analysis,Oceania,1
