nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,7
Research and analysis,Asia,4
Research and analysis,Americas,4
Research and analysis,Europe,4
"Developing ethical guidelines, standards, and best practices",Europe,2
Conferences and workshops,Asia,2
Research and analysis,Africa,2
"Developing ethical guidelines, standards, and best practices",Asia,1
"Developing ethical guidelines, standards, and best practices",Africa,1
Conferences and workshops,Europe,1
Advocacy and public awareness campaigns,Americas,1
Advocacy and public awareness campaigns,Africa,1
Other,Asia,1
Research and analysis,Oceania,1
Training and courses,Europe,1
