nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,5
Conferences and workshops,Europe,5
Research and analysis,Asia,4
Conferences and workshops,Africa,4
Research and analysis,Africa,3
Advocacy and public awareness campaigns,Americas,3
Conferences and workshops,Asia,3
Conferences and workshops,Americas,3
Establishing partnerships and collaborations,Asia,3
Advocacy and public awareness campaigns,Asia,2
"Developing ethical guidelines, standards, and best practices",Asia,2
Establishing partnerships and collaborations,Africa,2
Establishing partnerships and collaborations,Europe,2
Establishing partnerships and collaborations,Americas,2
Research and analysis,Europe,2
Other,Europe,1
Other,Africa,1
Research and analysis,Oceania,1
Training and courses,Africa,1
Training and courses,Europe,1
