nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,5
Research and analysis,Americas,5
Advocacy and public awareness campaigns,Americas,4
Research and analysis,Asia,4
Research and analysis,Europe,4
Conferences and workshops,Europe,3
Advocacy and public awareness campaigns,Asia,2
"Developing ethical guidelines, standards, and best practices",Europe,2
Conferences and workshops,Asia,2
Advocacy and public awareness campaigns,Africa,1
Conferences and workshops,Americas,1
Legal assistance and action,Europe,1
Establishing partnerships and collaborations,Europe,1
Establishing partnerships and collaborations,Americas,1
Other,Americas,1
Other,Europe,1
Other,Asia,1
Training and courses,Africa,1
Training and courses,Asia,1
