nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,4
Research and analysis,Asia,4
"Developing ethical guidelines, standards, and best practices",Africa,3
Research and analysis,Americas,3
Research and analysis,Africa,3
Advocacy and public awareness campaigns,Americas,2
Advocacy and public awareness campaigns,Asia,2
Conferences and workshops,Africa,2
Other,Europe,2
Establishing partnerships and collaborations,Africa,2
Establishing partnerships and collaborations,Americas,2
Conferences and workshops,Europe,2
Research and analysis,Europe,2
Conferences and workshops,Asia,1
Advocacy and public awareness campaigns,Oceania,1
Conferences and workshops,Americas,1
Other,Americas,1
Establishing partnerships and collaborations,Europe,1
"Developing ethical guidelines, standards, and best practices",Europe,1
"Developing ethical guidelines, standards, and best practices",Oceania,1
"Developing ethical guidelines, standards, and best practices",Asia,1
Other,Asia,1
Training and courses,Africa,1
Training and courses,Asia,1
