nsa_cs_action_type_text,region,numbers
Research and analysis,Europe,6
Advocacy and public awareness campaigns,Europe,4
Research and analysis,Americas,3
Advocacy and public awareness campaigns,Africa,3
Advocacy and public awareness campaigns,Americas,2
Research and analysis,Asia,2
"Developing ethical guidelines, standards, and best practices",Europe,2
Conferences and workshops,Africa,1
"Developing ethical guidelines, standards, and best practices",Asia,1
"Developing ethical guidelines, standards, and best practices",Africa,1
Conferences and workshops,Europe,1
Legal assistance and action,Europe,1
Other,Oceania,1
Other,Europe,1
Non-state mechanisms,Asia,1
Research and analysis,Africa,1
