nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,7
Research and analysis,Europe,6
Research and analysis,Americas,3
Advocacy and public awareness campaigns,Americas,3
Other,Europe,2
Research and analysis,Africa,2
Legal assistance and action,Europe,2
Research and analysis,Asia,2
"Developing ethical guidelines, standards, and best practices",Oceania,1
Conferences and workshops,Europe,1
Conferences and workshops,Asia,1
Conferences and workshops,Africa,1
Advocacy and public awareness campaigns,Asia,1
Other,Asia,1
Training and courses,Americas,1
Training and courses,Europe,1
