nsa_cs_action_type_text,region,numbers
Advocacy and public awareness campaigns,Europe,5
Research and analysis,Europe,5
Conferences and workshops,Asia,4
Research and analysis,Asia,4
Training and courses,Europe,2
Research and analysis,Americas,2
Advocacy and public awareness campaigns,Asia,2
"Developing ethical guidelines, standards, and best practices",Europe,1
"Developing ethical guidelines, standards, and best practices",Africa,1
Conferences and workshops,Africa,1
Advocacy and public awareness campaigns,Americas,1
Other,Oceania,1
Other,Europe,1
Non-state mechanisms,Asia,1
Legal assistance and action,Europe,1
