girai_subregion,country
South West Asia,Afghanistan
Balkans (South East Europe),Albania
North Africa,Algeria
Caribbean,Antigua and Barbuda
South America,Argentina
NorthWest Asia,Armenia
Oceania (Pacific),Australia
Western Europe,Austria
NorthWest Asia,Azerbaijan
Middle East,Bahrain
Caribbean,Barbados
Eastern Europe,Belarus
Western Europe,Belgium
Caribbean,Belize
West Africa,Benin
South West Asia,Bhutan
South America,Bolivia (Plurinational State of)
South Africa,Botswana
South America,Brazil
Balkans (South East Europe),Bulgaria
West Africa,Burkina Faso
East Africa,Burundi
South East Asia,Cambodia
Central Africa,Cameroon
North America,Canada
Central Africa,Central African Republic
Central Africa,Chad
South America,Chile
East Asia,China
East Asia,"China, Hong Kong Special Administrative Region"
South America,Colombia
Central America,Costa Rica
West Africa,Côte d'Ivoire
Balkans (South East Europe),Croatia
Central Africa,Democratic Republic of the Congo
Caribbean,Dominican Republic
South America,Ecuador
North Africa,Egypt
Central America,El Salvador
East Africa,Eritrea
North Europe,Estonia
East Africa,Ethiopia
North Europe,Finland
Western Europe,France
Central Africa,Gabon
West Africa,Gambia
Eastern Europe,Georgia
Western Europe,Germany
West Africa,Ghana
Balkans (South East Europe),Greece
Central America,Guatemala
West Africa,Guinea
Caribbean,Guyana
Caribbean,Haiti
Central America,Honduras
Central Europe,Hungary
South West Asia,India
South East Asia,Indonesia
North Europe,Ireland
Western Europe,Italy
Caribbean,Jamaica
East Asia,Japan
Middle East,Jordan
NorthWest Asia,Kazakhstan
East Africa,Kenya
Balkans (South East Europe),Kosovo
Middle East,Kuwait
NorthWest Asia,Kyrgyz Republic
South East Asia,Lao People's Democratic Republic
North Europe,Latvia
Middle East,Lebanon
South Africa,Lesotho
West Africa,Liberia
North Africa,Libya
North Europe,Lithuania
East Africa,Malawi
South East Asia,Malaysia
West Africa,Mali
East Africa,Mauritius
North America,Mexico
East Asia,Mongolia
Balkans (South East Europe),Montenegro
North Africa,Morocco
East Africa,Mozambique
South East Asia,Myanmar
South Africa,Namibia
South West Asia,Nepal
Western Europe,Netherlands
Oceania (Pacific),New Zealand
West Africa,Niger
West Africa,Nigeria
Balkans (South East Europe),North Macedonia
Middle East,Oman
South West Asia,Pakistan
Middle East,Palestine
Central America,Panama
South America,Paraguay
South America,Peru
South East Asia,Philippines
Central Europe,Poland
Western Europe,Portugal
Middle East,Qatar
East Asia,Republic of Korea
Eastern Europe,Republic of Moldova
Central Europe,Romania
East Africa,Rwanda
Caribbean,Saint Lucia
Middle East,Saudi Arabia
West Africa,Senegal
Balkans (South East Europe),Serbia
West Africa,Sierra Leone
South East Asia,Singapore
Central Europe,Slovakia
Balkans (South East Europe),Slovenia
East Africa,Somalia
South Africa,South Africa
East Africa,South Sudan
Western Europe,Spain
South West Asia,Sri Lanka
Western Europe,Switzerland
East Asia,Taiwan
NorthWest Asia,Tajikistan
South East Asia,Thailand
West Africa,Togo
Caribbean,Trinidad and Tobago
North Africa,Tunisia
NorthWest Asia,Turkmenistan
East Africa,Uganda
Eastern Europe,Ukraine
Middle East,United Arab Emirates
North Europe,United Kingdom of Great Britain and Northern Ireland
East Africa,United Republic of Tanzania
North America,United States of America
South America,Uruguay
NorthWest Asia,Uzbekistan
South East Asia,Viet Nam
East Africa,Zambia
East Africa,Zimbabwe
