nsa_au_action_type_text,ranking_category,0
Research and analysis,Leading Adoption,196
Research and analysis,Strong Adoption,131
Conferences and workshops,Leading Adoption,76
Conferences and workshops,Strong Adoption,52
"Developing ethical guidelines, standards, and best practices",Leading Adoption,42
Research and analysis,Emerging Adoption,36
Training and courses,Leading Adoption,31
Training and courses,Strong Adoption,22
Establishing partnerships and collaborations,Leading Adoption,18
Advocacy and public awareness campaigns,Leading Adoption,18
Other,Leading Adoption,17
Conferences and workshops,Emerging Adoption,14
Training and courses,Emerging Adoption,11
Conferences and workshops,Low Adoption,10
Advocacy and public awareness campaigns,Strong Adoption,10
Establishing partnerships and collaborations,Strong Adoption,10
Other,Strong Adoption,9
Advocacy and public awareness campaigns,Emerging Adoption,9
"Developing ethical guidelines, standards, and best practices",Emerging Adoption,9
"Developing ethical guidelines, standards, and best practices",Strong Adoption,5
Research and analysis,Low Adoption,4
Other,Emerging Adoption,4
Establishing partnerships and collaborations,Emerging Adoption,3
Establishing partnerships and collaborations,Low Adoption,2
Other,Low Adoption,2
Training and courses,Low Adoption,2
Legal assistance and action,Leading Adoption,1
Non-state mechanisms,Leading Adoption,1
