nsa_ps_action_type_text,ranking_category,0
Research and analysis,Leading Adoption,82
"Developing ethical guidelines, standards, and best practices",Leading Adoption,59
Research and analysis,Strong Adoption,43
Advocacy and public awareness campaigns,Leading Adoption,40
Other,Leading Adoption,30
Conferences and workshops,Leading Adoption,27
Advocacy and public awareness campaigns,Strong Adoption,25
Conferences and workshops,Strong Adoption,24
Other,Strong Adoption,22
Establishing partnerships and collaborations,Leading Adoption,21
Training and courses,Leading Adoption,19
Other,Emerging Adoption,18
Establishing partnerships and collaborations,Strong Adoption,14
"Developing ethical guidelines, standards, and best practices",Strong Adoption,10
Advocacy and public awareness campaigns,Emerging Adoption,10
Legal assistance and action,Leading Adoption,10
Training and courses,Emerging Adoption,9
Training and courses,Strong Adoption,9
Research and analysis,Emerging Adoption,7
Training and courses,Low Adoption,5
"Developing ethical guidelines, standards, and best practices",Emerging Adoption,5
Conferences and workshops,Emerging Adoption,4
Establishing partnerships and collaborations,Emerging Adoption,4
Research and analysis,Low Adoption,3
Other,Low Adoption,2
Conferences and workshops,Low Adoption,2
Legal assistance and action,Strong Adoption,2
Establishing partnerships and collaborations,Low Adoption,1
Advocacy and public awareness campaigns,Low Adoption,1
Non-state mechanisms,Leading Adoption,1
Non-state mechanisms,Strong Adoption,1
